40	但使龙城飞将在，不教胡马度阴山	dàn shǐ lóng chéng fēi jiàng zài ， bù jiào hú mǎ dù yīn shān	王昌龄《出塞》	边塞豪情
41	黄沙百战穿金甲，不破楼兰终不还	huáng shā bǎi zhàn chuān jīn jiǎ ， bù pò lóu lán zhōng bù huán	王昌龄《从军行》	边塞豪情
42	青海长云暗雪山，孤城遥望玉门关	qīng hǎi cháng yún àn xuě shān ， gū chéng yáo wàng yù mén guān	王昌龄《从军行》	边塞豪情
43	大漠风尘日色昏，红旗半卷出辕门	dà mò fēng chén rì sè hūn ， hóng qí bàn juǎn chū yuán mén	王昌龄《从军行》	边塞豪情
44	前军夜战洮河北，已报生擒吐谷浑	qián jūn yè zhàn táo hé běi ， yǐ bào shēng qín tǔ yù hún	王昌龄《从军行》	边塞豪情
45	黄河远上白云间，一片孤城万仞山	huáng hé yuǎn shàng bái yún jiān ， yī piàn gū chéng wàn rèn shān	王之涣《凉州词》	边塞豪情
46	羌笛何须怨杨柳，春风不度玉门关	qiāng dí hé xū yuàn yáng liǔ ， chūn fēng bù dù yù mén guān	王之涣《凉州词》	边塞豪情
47	葡萄美酒夜光杯，欲饮琵琶马上催	pú táo měi jiǔ yè guāng bēi ， yù yǐn pí pá mǎ shàng cuī	王翰《凉州词》	边塞豪情
48	醉卧沙场君莫笑，古来征战几人回	zuì wò shā chǎng jūn mò xiào ， gǔ lái zhēng zhàn jǐ rén huí	王翰《凉州词》	边塞豪情
49	大漠孤烟直，长河落日圆	dà mò gū yān zhí ， cháng hé luò rì yuán	王维《使至塞上》	边塞豪情
50	单车欲问边，属国过居延	dān chē yù wèn biān ， shǔ guó guò jū yán	王维《使至塞上》	边塞豪情
51	忽如一夜春风来，千树万树梨花开	hū rú yī yè chūn fēng lái ， qiān shù wàn shù lí huā kāi	岑参《白雪歌送武判官归京》	边塞豪情
52	北风卷地白草折，胡天八月即飞雪	běi fēng juǎn dì bái cǎo zhé ， hú tiān bā yuè jí fēi xuě	岑参《白雪歌送武判官归京》	边塞豪情
53	瀚海阑干百丈冰，愁云惨淡万里凝	hàn hǎi lán gān bǎi zhàng bīng ， chóu yún cǎn dàn wàn lǐ níng	岑参《白雪歌送武判官归京》	边塞豪情
54	纷纷暮雪下辕门，风掣红旗冻不翻	fēn fēn mù xuě xià yuán mén ， fēng chè hóng qí dòng bù fān	岑参《白雪歌送武判官归京》	边塞豪情
55	山回路转不见君，雪上空留马行处	shān huí lù zhuǎn bù jiàn jūn ， xuě shàng kōng liú mǎ xíng chù	岑参《白雪歌送武判官归京》	边塞豪情
56	将军金甲夜不脱，半夜军行戈相拨	jiāng jūn jīn jiǎ yè bù tuō ， bàn yè jūn xíng gē xiāng bō	岑参《走马川行奉送出师西征》	边塞豪情
57	君不见走马川行雪海边，平沙莽莽黄入天	jūn bù jiàn zǒu mǎ chuān xíng xuě hǎi biān ， píng shā mǎng mǎng huáng rù tiān	岑参《走马川行奉送出师西征》	边塞豪情
58	马毛带雪汗气蒸，五花连钱旋作冰	mǎ máo dài xuě hàn qì zhēng ， wǔ huā lián qián xuán zuò bīng	岑参《走马川行奉送出师西征》	边塞豪情
59	战士军前半死生，美人帐下犹歌舞	zhàn shì jūn qián bàn sǐ shēng ， měi rén zhàng xià yóu gē wǔ	高适《燕歌行》	边塞豪情
60	君不见沙场征战苦，至今犹忆李将军	jūn bù jiàn shā chǎng zhēng zhàn kǔ ， zhì jīn yóu yì lǐ jiāng jūn	高适《燕歌行》	边塞豪情
